gene	topology_score	rwr_score
ENSG00000000004	3.4545454545454546	0.07685978711016345
ENSG00000000002	2.6480446927374306	0.07169568163934373
ENSG00000000003	2.6197183098591545	0.070285695013573
ENSG00000000009	3.2522255192878338	0.06877948228273034
ENSG00000000005	2.561604584527221	0.06746403703169185
ENSG00000000006	2.531791907514451	0.066052308404291
ENSG00000000007	2.0766613415216084	0.040964231970489456
ENSG00000000008	2.0652511434685916	0.04003044965705752
ENSG00000000010	2.041641624452649	0.03816097168399449
ENSG00000000011	2.0294238995895855	0.03722520640124863
ENSG00000000013	1.3770491803278688	0.03214483931108728
ENSG00000000020	0.946564885496183	0.016848350718270122
ENSG00000000021	0.0684326710816777	0.0019420100087923526
ENSG00000000017	0.060980750316144444	0.0017106319958088193
ENSG00000000018	0.05324935585456627	0.0014767760080209855
ENSG00000000019	0.04522246535375638	0.001239512827923212
